Universidad,Facultad,Dirección
Universidad de Belgrano,Facultad de Ingeniería Y Tecnología Informática,Dirección: Federico Lacroze 1955 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Escuela de Posgrado en Negocios,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Arquitectura Diseño y Urbanismo,Dirección: Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Exactas y Naturales,Dirección: Intendente Güiraldes 2160 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Agronomía,Dirección: Av. San Martín 4453 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Veterinarias,Dirección: Chorroarín 280 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Filosofía y Letras,Dirección: Puán 480 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Derecho,Dirección: Av.Pte.F.Alcorta 2263 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Psicología,Dirección: Hipólito Irigoyen 3238 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Rectorado,Dirección: Viamonte 430 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Odontología,Dirección: MarceloT.de Alvear 2142 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,Dirección: Junín 954 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Medicina,Dirección: Paraguay 2155 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Económicas,Dirección: Av. Córdoba 2122 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ciencias Sociales,Dirección: Marcelo T. de Alvear 2230 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ingeniería,Dirección: Paseo Colón 850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Departamento de Posgrados,Dirección: Paraguay 1338 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,UCES San Isidro,Dirección: Chile 343 - San Isidro - Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,UCES Olivos,Dirección: Roma 650 - Olivos - Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Sede Cañuelas,Dirección: Hipólito Yrigoyen 405 – Cañuelas - Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias de la Comunicación,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias de la Salud,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Económicas,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Empresariales,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Ciencias Empresariales y Sociales,Facultad de Ciencias Jurídicas y Políticas,Dirección: Paraguay 1401 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
